Number,In Charge,STUDY ACCCESSION,PUBMEDID,LINK,DATASETS,Consortia,NOTES
695,Pilar,GCST001594,22219177,www.ncbi.nlm.nih.gov/pubmed/22219177,Cancer Prostate in Sweden (CAPS); Johns Hopkins Hospital (JHH); National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS),,
696,Pilar,GCST000171,21725308,www.ncbi.nlm.nih.gov/pubmed/21725308,Nanjing Study (NJ Study); Beijing (Beijing),,Control sample from Han Chinese population is presented without a name.
697,Pilar,GCST001702,22504417,www.ncbi.nlm.nih.gov/pubmed/22504417,"Northern and Western European ancestry (CEU); Toscani in Italy (TSI); Mexican ancestry in Los Angeles, California (MEX); Yoruba in Ibadan, Nigeria (YRI); BIG replication and Trinity College Dublin/ National University of Ireland, Galway (NUIG-TCD)",ENIGMA Consortium; Charge,
698,Pilar,GCST002169,23371916,www.ncbi.nlm.nih.gov/pubmed/23371916,Dongfeng-Tongji cohort study (DFTJ),,
699,Pilar,GCST001019,19414484,www.ncbi.nlm.nih.gov/pubmed/19414484,Framingham Heart Study (FHS); Rotterdam Study (RS); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES),,
700,Pilar,GCST004242,28371326,www.ncbi.nlm.nih.gov/pubmed/28371326,NO NAME,,"Discovery: community-based survey in 2010_2011 in Linpu town, Xiaoshan District, Hangzhou, Zhejiang ProvinceControls: were recruited from north-east- ern China (Shenyang cohort), northern China (Beijing cohort) and east- ern China (Hangzhou, Daicun, Wenzhou, Zhoushan, and Zhejiang cohorts)"
701,Pilar,GCST002069,23273568,www.ncbi.nlm.nih.gov/pubmed/23273568,NO NAME,,"The samples used in this study were collected from Hong Kong, Anhui prov- ince, China, and Bangkok, Thailand.Hong Kong: Queen Mary Hospital, Tuen Mun Hospital, Queen Elizabeth Hospital, Pamela Youde Nether- sole Eastern Hospital, and Princess Mar- garet Hospital.Anhui replication panel 1 are all of self-reported Chinese ethnicity, live in Anhui province, central China, and have visited the Department of Rheumatology at Anhui Provincial Hospital and the First Affiliated Hospital of Anhui Medical University in Hefei, Anhui province, ChinaAnhui replication panel 1 are all of self-reported Chinese ethnicity, live in Anhui province, central China, and have visited the Department of Rheumatology at Anhui Provincial Hospital and the First Affiliated Hospital of Anhui Medical University in Hefei, Anhui province, China"
702,Pilar,GCST002376,24064335,www.ncbi.nlm.nih.gov/pubmed/24064335,Omaha Osteoporosis Study (OOS),,
703,Pilar,GCST002835,25644374,www.ncbi.nlm.nih.gov/pubmed/25644374,International Agency for Research on Cancer Study (IARC); MD Anderson Cancer Center Study (MDACCS); HMGU (HMGU); National Cancer Institute (NCI); Mount Sinai Hospital (MSH); Princess Margaret Hospital in Toronto (PMHT); Multiethnic Cohort Study of Diet and Health (MEC); Harvard (Harvard),,
704,Pilar,GCST000028,21062454,www.ncbi.nlm.nih.gov/pubmed/21062454,Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH); Rotterdam Breast Cancer Study (RBCS); Epidemiological Investigation of Rheumatoid Arthritis (EIRA); European Prospective Investigation into Cancer (EPIC),,"Swedish sample: set included subjects whowere drawn from a parent population based case control study of p ostmenopausal breast cancerFinnish sample:  breast cancer study population consists of two series of unselected breast cancer patients and additional familial cases ascertained at the Helsinki University Central Hospital."
705,Pilar,GCST001040,19570815,www.ncbi.nlm.nih.gov/pubmed/19570815,Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Kiel PopGen biobank study (KIEL); Erasmus Rucphen Family Study (ERF); Longitudinal Aging Study Amsterdam (LASA); European Prospective Osteoporosis Study (EPOS); Netherlands Twin Registry (NTR),"Genetic Investigation of Anthropometric Traits; Forensic Genomics ConsortiumNetherlands",
706,Pilar,GCST003452,26956414,www.ncbi.nlm.nih.gov/pubmed/26956414,National Cancer Institute (NHL); Utah Chronic Lymphocytic Leukemia Study (UTAH); NO NAME,,
707,Pilar,GCST000382,25774636,www.ncbi.nlm.nih.gov/pubmed/25774636,NO NAME,,"Sample TB patients: recruited in two Russian cities, St. Petersburg and Samara"
708,Pilar,GCST002462,24513273,www.ncbi.nlm.nih.gov/pubmed/24513273,Dongfeng-Tongji cohort study (DFTJ); Fangchenggang (Fangchenggang),,
709,Pilar,GCST001484,22003152,www.ncbi.nlm.nih.gov/pubmed/22003152,Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Rotterdam Study (RS); Monitoring of Trends and Determinants in Cardiovascular Disease (MONICA); Cooperative Health Research in the Region of Augsburg (KORA),,
710,Pilar,GCST002874,25646338,www.ncbi.nlm.nih.gov/pubmed/25646338,Coronary Artery Risk Development in Young Adults (CARDIA); Cardiovascular Health Study (CHS); Genetics of Lipid Lowering Drugs and Diet Network study (GOLDN),CHARGE Consortium,
711,Pilar,GCST003468,26732621,www.ncbi.nlm.nih.gov/pubmed/26732621,UK GWAS Stage 1 (UK1),ReproGen Consortium,
712,Pilar,GCST001262,21216879,www.ncbi.nlm.nih.gov/pubmed/21216879,Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); Cooperative Health Research in the Region of Augsburg (KORA); Study of Health in Pomerania (SHIP),,
713,Pilar,GCST002276,23717212,www.ncbi.nlm.nih.gov/pubmed/23717212,"KEMRI-Wellcome Research Programme, Kilifi (KEMRI); Blantyre-Wellcome Trust Project in Blantyre, Malawi (Blantyre)",,
714,Pilar,GCST004225,28224759,www.ncbi.nlm.nih.gov/pubmed/28224759,Framingham Heart Study (FHS); Kansas-City Osteoporosis Study (KCOS); Omaha Osteoporosis Study (OOS),,
715,Pilar,GCST000674,17529974,www.ncbi.nlm.nih.gov/pubmed/17529974,Icelandic Cancer Registry (ICR); The Icelandic Genealogical Database (IGD); deCODE Genetics (deCODE); Nijmegen Biomedical Study (NBS); Multiethnic Cohort Study of Diet and Health (MEC),,"Not clear tha samples for Spain, Sweden, Holland"
716,Pilar,GCST000215,23023329,www.ncbi.nlm.nih.gov/pubmed/23023329,National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); Cancer Prostate in Sweden (CAPS),Chinese Consortium for Prostate Cancer Genetics (ChinaPCa),Samples from ChinaPCa are not presented with names
717,Pilar,GCST000220,23042114,www.ncbi.nlm.nih.gov/pubmed/23042114,BioBank Japan Project (BBJ); RIKEN (RIKEN),PharmaSNP Consortium,
718,Pilar,GCST001193,20676098,www.ncbi.nlm.nih.gov/pubmed/20676098,BioBank Japan Project (BBJ),,
719,Pilar,GCST001436,21824976,www.ncbi.nlm.nih.gov/pubmed/21824976,"Shanghai Breast Cancer Study (SBCS); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); New England Bladder Cancer Study (NEBCS); Cancer Prevention Study II (CPS-II); Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC); Texas Bladder Cancer Study 1 (TXBCS 1); Texas Bladder Cancer Study 2 (TXBCS 2); New England Bladder Cancer Study (NEBCS); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS)",,
720,Pilar,GCST001524,22037552,www.ncbi.nlm.nih.gov/pubmed/22037552,NO NAME,,"There is no name for datasets. This is the only information provided. All the cases and controls were determined to be of northern Han Chinese origin because they and their parents were born in Beijing, Tianjin, Hebei, Shandong, Henan or Anhui provinces"
721,Pilar,GCST003741,27454463,www.ncbi.nlm.nih.gov/pubmed/27454463,23andMe (23andMe),,
722,Pilar,GCST003158,26301497,www.ncbi.nlm.nih.gov/pubmed/26301497,Stanley study (Stanley); St G_ran Bipolar Project (SGBP); Bipolar Disorder Research Network (BDRN); UK National Blood Donor Service (UKBS); British 1958 Birth Cohort Study (B58C),"Wellcome TrustCase Control Consortium 2 (WTCCC2)",
723,Pilar,GCST000003,20871597,www.ncbi.nlm.nih.gov/pubmed/20871597,BioBank Japan Project (BBJ); Korean-National Cancer Center Study (Korea-NCC),,
724,Pilar,GCST002643,24920014,www.ncbi.nlm.nih.gov/pubmed/24920014,European Collaborative Study (ECS); Epilymph case-control study in six European countries (EpiLymph); Scotland and Newcastle Lymphoma Group (SNLG); Young Adult Hodgkins Disease Case_Control Study (YAHD); Scandinavian Lymphoma Etiology Study (SCALE); Northern Dutch Hodgkin Lymphoma Study (NDHLS); Alcohol Related Cancers and Genetic Susceptibility in Europe Study (ARCGSES); International Agency for Research on Cancer Central Europe Study (IARCCES); University of Southern California (USC); International Agency for Research on Cancer Study (IARC); University of Chicago (UC),Pancreatic Cancer Cohort Consortium; Wellcome Trust Case_Control Consortium,
725,Pilar,GCST002014,23150908,www.ncbi.nlm.nih.gov/pubmed/23150908,Genotype–Phenotype Associations in Alzheimers Disease (GENADA); National Institute on Aging - Late Onset Alzheimers Disease (NIA-LOAD); Medical Records and Genomics study (eMERGE); National Institutes of Health Genotype and Phenotype database (dbGAP),deCODE,
726,Pilar,GCST000052,21196492,www.ncbi.nlm.nih.gov/pubmed/21196492,Japan Public Health Center Study (JPHC),,Not sure if it right check table. Already download
727,Pilar,GCST004288,28334814,www.ncbi.nlm.nih.gov/pubmed/28334814,NO NAME,,"Chinese Han population, not further details about the names of the cohort"
728,Pilar,GCST003789,27500523,www.ncbi.nlm.nih.gov/pubmed/27500523,"Genetics of diabetes Audit and Research (GODARTS); UKPDS study (UKPDS); Genetic Epidemiology Research in Adult Health and Aging (GERA); Kaiser Permanente Research Program on Genes, Environment, and Health (RPEGH); DCS (DCS)",MetGen Consortium,
729,Pilar,GCST000691,17603485,www.ncbi.nlm.nih.gov/pubmed/17603485,Icelandic Cancer Registry (ICR); Hapmap (Hapmap); deCODE Genetics (deCODE),,
730,Pilar,GCST001715,22504421,www.ncbi.nlm.nih.gov/pubmed/22504421,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Austrian Stroke Prevention Study (ASPS); Erasmus Rucphen Family Study (ERF); Framingham Heart Study (FHS); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Tasmanian Study of Cognition and Gait (TASCOG); Three City Study (3C); Rotterdam Study (RS); Religious Orders Study and Rush Memory and Aging Project (ROSMAP),ENIGMA; CHARGE,
731,Pilar,GCST001130,20385826,www.ncbi.nlm.nih.gov/pubmed/20385826,Massachusetts General Hospital Atrial Fibrillation Study (MGH),,
732,Pilar,GCST001808,22792070,www.ncbi.nlm.nih.gov/pubmed/22792070,Generation R Study Group (Generation R); Avon Longitudinal Study of Parents and Children (ALSPAC); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III),,
733,Pilar,GCST003564,27179730,www.ncbi.nlm.nih.gov/pubmed/27179730,Atherosclerosis Risk in Communities Study (ARIC); Coronary Artery Risk Development in Young Adults (CARDIA); Framingham Heart Study (FHS); Multi-Ethnic Study of Atherosclerosis (MESA),,
734,Pilar,GCST001398,21779176,www.ncbi.nlm.nih.gov/pubmed/21779176,Multiple Sclerosis Genetics Study (REFGENSEP); FINRISK (FINRISK); Wisconsin Sleep Cohort (WSC); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Dortmund Health Study (DHS); Course of RLS (COR-); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4),,"US= were recruited in the United States at Departments of Neurology at Universities in Baltimore, Miami, Houston, and Palo Alto. GER1= were recruited in Munich, Marburg, Kassel, Gottingen, Berlin, Vienna and InnsbruckCZ= were recruited in PragFR= were recruited in MontpellierFN=were recruited TurkuCA= were recruited and diagnosed as above in Montre _al, Canada. All subjects were exclusively of French- Canadian ancestry"
735,Pilar,GCST004403,28580392,www.ncbi.nlm.nih.gov/pubmed/28580392,"BioVU, the Vanderbilt DNA Databank project (BioVu); Cardiovascular Health Study (CHS); Health, Aging, and Body Composition Study (Health ABC); Johnston County Osteoarthritis Project (JOCO); Womens Health Initiative (WHI)",,
736,Pilar,GCST000874,18711367,www.ncbi.nlm.nih.gov/pubmed/18711367,Japanese Millenium Genome Project (JMGP); miRBase database (miRBase); IMS-JST JSNP database (IMS-JST JSNP); STRUCTURE analysis (STRUCTURE),DGI;  WTCCC; FUSION,Re-check sumplementary table
737,Pilar,GCST000257,24121790,www.ncbi.nlm.nih.gov/pubmed/24121790,UK Barretts Oesophagus Gene Study (UKBOGS); ESophageal Adeno-carcinoma (ESAC); Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH); Wellcome Trust Case Control Consortium 2 (WTCCC2); UK GWAS Stage 1 (UK1); Southampton Ovarian Cancer Study (SOCS),WTCCC2; Barrett's and Esophageal Adenocarcinoma Consortium (BEACON),"Samples from Australia, Europe, North America, and MD Anderson Cancer Center, are not presented with names"
738,Pilar,GCST001545,22037903,www.ncbi.nlm.nih.gov/pubmed/22037903,Group Health (GH); Marshfield Clinic (Marshfield); The Mayo Clinic study (MAYO); Northwestern University (Northwestern),eMERGE Network,
739,Pilar,GCST000795,18451265,www.ncbi.nlm.nih.gov/pubmed/18451265,Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Northern Finnish Birth Cohort Study 1986 (NFBC1986),,
740,Pilar,GCST000937,19065144,www.ncbi.nlm.nih.gov/pubmed/19065144,Netherlands Study of Depression and Anxiety (NESDA); Netherlands Twin Registry (NTR); Genetic Association Information Network-MDD Study (GAIN-MDD); NEMESIS (NEMESIS); ARIADNE (ARIADNE); Netherlands Twin Registry (NTR); Genetic Association Information Network (GAIN),,
741,Pilar,GCST004368,28298293,www.ncbi.nlm.nih.gov/pubmed/28298293,Nutrition and Health of Aging Population in China (NHAPC); Multi-Ethnic Study of Atherosclerosis (MESA); Atherosclerosis Risk in Communities Study (ARIC); Coronary Artery Risk Development in Young Adults (CARDIA); Cardiovascular Health Study (CHS); Genetics of Lipid Lowering Drugs and Diet Network study (GOLDN); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); The Invecchiare in Chianti (InCHIANTI),,
742,Pilar,GCST000916,18978790,www.ncbi.nlm.nih.gov/pubmed/18978790,Toronto case-control study (TCCS); North Trondelag Health Study (HUNT2); Carotene and Retinol Efficacy Trial (CARET); The Tromso Study (Tromso),,
743,Pilar,GCST002233,23548203,www.ncbi.nlm.nih.gov/pubmed/23548203,BC (BC); D2D2007 (D2D2007); Health Professional Follow-up Study (HPFS); CHD (CHD); Nurses Health Study (NHS); KS (KS); RF (RF),,
744,Pilar,GCST000810,18483556,www.ncbi.nlm.nih.gov/pubmed/18483556,NO NAME; Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); Queensland Institute of Medical Research (QIMR); Skin Cancer Nested Case-Control Study (SCNCCS),,
745,Pilar,GCST001301,21640322,www.ncbi.nlm.nih.gov/pubmed/21640322,NO NAME,,Chinese population
746,Pilar,GCST000507,19734902,www.ncbi.nlm.nih.gov/pubmed/19734902,"UK Medical Research Council (MRC); Alzheimers Research Trust (ART); University of Washington (WASHU); UCL-PRION (UCL-PRION); UCL-LASER (UCL-LASER); National Institute of Mental Health (NIMH); Department of Psychiatry, University of Bonn (Bonn); The Mayo Clinic study (MAYO); British 1958 Birth Cohort Study (B58C); Coriell Cell Repositories (CORIELL); Cooperative Health Research in the Region of Augsburg (KORA); Heinz Nixdorf Recall Study (HNR); ALS Study (ALS)",,
747,Pilar,GCST004034,28041642,www.ncbi.nlm.nih.gov/pubmed/28041642,Drug-Induced Liver Injury Network (DILIN); DILIGEN (DILIGEN); Eudragene (Eudragene),International Drug-Induced Liver Injury Consortium (iDILIC),
748,Pilar,GCST001293,21529783,www.ncbi.nlm.nih.gov/pubmed/21529783,Australian Twin-Family Studies (AUSTWIN); Nicotine Addiction Genetics (NAG); Alcohol Research using Australian twins and their families (OZALC); BIGSIB (BIGSIB); EDAC (EDAC),,
749,Pilar,GCST002688,25158072,www.ncbi.nlm.nih.gov/pubmed/25158072,NO NAME,,"TS sample: individuals recruited from 20 sites in the US, Canada, UK, Netherlands, and Israel, and included subjects of general European (EU) ancestry as well as two EU-derived population isolates of Ashkenazi Jewish (AJ) and French Canadian (FC) descentOCD sample: sites in North, Central and South America, Europe, the United Arab Emirates, and South Africa, only subjects of European ancestry (EU, AJ, and EU-derived Afrikaner (SA) descent) were included in the current study.control sample: European Caucasian controls"
750,Pilar,GCST000593,18711366,www.ncbi.nlm.nih.gov/pubmed/18711366,BioBank Japan Project (BBJ); RIKEN (RIKEN); Singapore Diabetes Cohort Study (SDCS); Singapore National Health Survey (NHS98); Inter99 Study (Inter99); ADDITION study (ADDITION); NO NAME,,
751,Pilar,GCST000933,19056611,www.ncbi.nlm.nih.gov/pubmed/19056611,Wellcome Trust Case Control Consortium T2D (WTCCC-T2D),,
752,Pilar,GCST003262,26424050,www.ncbi.nlm.nih.gov/pubmed/26424050,Interphone (Interphone); British 1958 Birth Cohort Study (B58C); MD Anderson Cancer Center Study (MDACCS); National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS); Groupe hospitalier Pitieâ- Salpe_trie`re Paris (Paris); Supplementation en Vitamines et Mineraux Antioxydants (SUVIMAX); Cooperative Health Research in the Region of Augsburg (KORA); The Population Genetic Cohort (POPGEN); Heinz Nixdorf Recall Study (HNR); National Brain Tumour Study (NBTS); National Study of Colorectal Cancer Genetics (NSCCG); Genetic Lung Cancer Predisposition Study (GELCAPS),,
753,Pilar,GCST001616,22354554,www.ncbi.nlm.nih.gov/pubmed/22354554,NO NAME,WTCCC2 ,"Discovery cohort: self-reported non-Hispanic European American (EA) ancestryReplication cohort: self-reported Caucasian ethnicity Texas, Utah, German samplesUK samples: The British Society for Paediatric and Adolescent Rheumatology (BSPAR); UK Caucasian patients with long-standing JIA;  five-center prospective inception cohort collected as part of the Childhood Arthritis Prospective Study (CAPS)"
754,Pilar,GCST000322,24958192,www.ncbi.nlm.nih.gov/pubmed/24958192,Flanders-Belgian study cohort (Belgium_AD); USA_AD (USA_AD); USA2_AD (USA2_AD); UK_AD (UK_AD); Germany (Germany),Genetic and Environmental Risk for Alzheimer's disease Consortium (GERAD1).,
755,Pilar,GCST000431,27064253,www.ncbi.nlm.nih.gov/pubmed/27064253,"Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC); Cancer Prevention Study II (CPS-II); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Nurses Health Study (NHS); Nurses Health Studies II (NHS2)",,
756,Pilar,GCST002264,23704328,www.ncbi.nlm.nih.gov/pubmed/23704328,Avon Longitudinal Study of Parents and Children (ALSPAC); Northern Finnish Birth Cohort Study (NFBC),,
757,Pilar,GCST001740,22532574,www.ncbi.nlm.nih.gov/pubmed/22532574,Mayo Clinic Breast Cancer Study (MCBCS); Mayo Venous Thromboembolism Study (Mayo VTE); Mayo Clinic Ovarian Cancer Study (MOCS); European Prospective Investigation into Cancer (EPIC); Nurses Health Study (NHS); Nurses Health Studies II (NHS2); Singapore and Sweden Breast Cancer Study (SASBAC); Toronto case-control study (TCCS); Sisters in Breast Screening (SIBS); Mayo Pharmacogenetics Research Network Aromatase Inhibitor AI Study (Mayo PGRN); Breast Cancer Family Study (MBCFS),MODE,
758,Pilar,GCST002097,23358156,www.ncbi.nlm.nih.gov/pubmed/23358156,Avon Longitudinal Study of Parents and Children (ALSPAC); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); Brisbane Adolescent Twins Study (BATS); Queensland Institute of Medical Research (QIMR); Generation R Study Group (Generation R); Netherlands Twin Registry (NTR); University of Minnesota study (UMN); Western Australian Pregnancy Cohort Study (RAINE); Twins Early Development Study (TEDS),Childhood Intelligence Consortium(CHIC),
759,Pilar,GCST001347,21696813,www.ncbi.nlm.nih.gov/pubmed/21696813,Isle of Wight 1989_1990 birth cohort study (IOW); Wessex family study (Wessex); Childhood Asthma Management Program (CAMP); Childhood Asthma Research and Education (CARE_c); Genetics of Asthma in Latino Americans (GALA); Mexico Childhood Asthma Study (MCAS),International Consortium for SLE Genetics (SLEGEN); Wellcome Trust Case Control Consortium (WTCCC),
760,Pilar,GCST002527,24578125,www.ncbi.nlm.nih.gov/pubmed/24578125,Cohorte Lausannoise (CoLaus); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); Framingham Heart Study (FHS),,
761,Pilar,GCST000161,21694764,www.ncbi.nlm.nih.gov/pubmed/21694764,Australian Twin-Family Studies (AUSTWIN); Australian Twin-Family Studies (AUSTWIN),,
762,Pilar,GCST001260,21084426,www.ncbi.nlm.nih.gov/pubmed/21084426,Study of Parkinsons disease Genetics (PDG); British 1958 Birth Cohort Study (B58C); UK National Blood Donor Service (UKBS); TERRE (TERRE); PARTAGE (PARTAGE),,
763,Pilar,GCST002425,24105470,www.ncbi.nlm.nih.gov/pubmed/24105470,Singapore Prospective Study Program (SP2); Korean Cancer Prevention Study II (KCPS-II); Cebu Longitudinal Health and Nutrition Survey (CLHNS),Asian Genetic Epidemiology Network (AGEN),
764,Pilar,GCST002246,23666239,www.ncbi.nlm.nih.gov/pubmed/23666239,National Cancer Institute (NCI); UPENN (UPENN); UK Testicular Cancer Collaboration (UKTCC); University of Southern California (USC); OUHRH (OUHRH); TestPAC (TestPAC); Cancer Genome Atlas (TCGA); Prostate Cancer Case-Control Studies at MD Anderson (MDA),,
765,Pilar,GCST001887,22794196,www.ncbi.nlm.nih.gov/pubmed/22794196,Australian Ovarian Cancer Study (AOCS); Australia Cancer Study (ACS); Belgium Ovarian Cancer Study (BOCS); German Ovarian Cancer Study (GOCS); Hannover-Jena Ovarian Cancer Study (HJOCS); Hawaii Ovarian Cancer Study (HOCS); Helsinki Ovarian Cancer Study (HeOCS); Nijmegen Polygene Study & Nijmegen Biomedical Study (POLYGENE); Danish Malignant Ovarian Tumor Study (MALOVA); New Jersey Ovarian Cancer Study (NJOCS); Ovarian Cancer in Alberta and British Columbia (OVAL-BC); UK SEARCH Ovarian Cancer Study (SEARCH-OCS); UK Ovarian Cancer Population Study (UKOPS); Nijmegen Biomedical Study (NBS); Hannover-Minsk Ovarian Cancer Study (HMOCS),Ovarian Cancer Association Consortium (OCAC) ,
766,Pilar,GCST000424,26542096,www.ncbi.nlm.nih.gov/pubmed/26542096,Avon Longitudinal Study of Parents and Children (ALSPAC); British 1958 Birth Cohort Study (B58C); Epidemiological study of Genetics and Environment of Asthma (EGEA); Prevention and Incidence of Asthma and Mite Allergy birth cohort study (PIAMA); GABRIELA (GABRIELA); SLSI (SLSI); TOMSK (TOMSK); Childrens Hospital of Philadelphia (CHOP); GENEVA Dental Caries Study (GENEVA-DCS); The Population Genetic Cohort (POPGEN); Cooperative Health Research in the Region of Augsburg (KORA); Meta-Analyses of Glucose and Insulin-related Traits Consortium (MAGIC); ISAAC (ISAAC); Sydney Memory and Ageing Study (MAS); Heinz Nixdorf Recall Study (HNR); Western Australian Pregnancy Cohort Study (RAINE),,
767,Pilar,GCST000599,16614226,www.ncbi.nlm.nih.gov/pubmed/16614226,Cooperative Health Research in the Region of Augsburg (KORA); Nurses Health Study (NHS),,
768,Pilar,GCST002484,24390345,www.ncbi.nlm.nih.gov/pubmed/24390345,UNAM/INCMNSZ Diabetes Study (UIDS); Diabetes in Mexico Study (DMS); Diabetes in Mexico Study (DMS),,
769,Pilar,GCST002406,24489884,www.ncbi.nlm.nih.gov/pubmed/24489884,Atherosclerosis Risk in Communities Study (ARIC),,
770,Pilar,GCST002599,24770850,www.ncbi.nlm.nih.gov/pubmed/24770850,Avon Longitudinal Study of Parents and Children (ALSPAC); British 1958 Birth Cohort Study (B58C); Western Australian Pregnancy Cohort Study (RAINE); Cardiovascular Risk in Young Finns Study (YFS); TEENs of Attica: Genes and Environment (TEENAGE); Leipzig Childhood Obesity cohort (Leipzig); Special Turku Coronary Risk Factor Intervention Project (STRIP); The Netherlands AAA GWAS dataset (Netherlands),EGG Consortium,
771,Pilar,GCST000222,24023777,www.ncbi.nlm.nih.gov/pubmed/24023777,NO NAME,,"See online paper: Takahashi Y, Kou I, Takahashi A, Johnson TA, Kono K, et al. (2011) A genome-wide association study identifies common variants near LBX1 associated with adolescent idiopathic scoliosis. Nat Genet 43: 1237_1240"
772,Pilar,GCST002351,24084763,www.ncbi.nlm.nih.gov/pubmed/24084763,Adenoma Prevention with Celecoxib (APC); VICTOR (VICTOR); QUASAR2 (QUASAR2); British 1958 Birth Cohort Study (B58C),COloRectal Gene Identification consortium; Wellcome Trust Case Control Consortium,Samples of Scotland and Australia were also used. With no specific name.
773,Pilar,GCST002480,24386095,www.ncbi.nlm.nih.gov/pubmed/24386095,Dongfeng-Tongji cohort study (DFTJ); Guangxi Fangchenggang Area Male Health and Examination Survey (FAMHES),,
774,Pilar,GCST001159,20639881,www.ncbi.nlm.nih.gov/pubmed/20639881,"SF1 (SF1); Scandinavian Lymphoma Etiology Study (SCALE); National Cancer Institute- Surveillance, Epidemiology, and End Results Interdisciplinary Case-Control Study of Non-Hodgkins Lymphoma (NCI-SEER); NSW non-Hodgkin lymphoma study  (NSW); Yale (Yale); BC (BC); Epilymph case-control study in six European countries (EpiLymph); SF2 (SF2)",,
775,Pilar,GCST000501,19734901,www.ncbi.nlm.nih.gov/pubmed/19734901,University Medical Center Utrecht (UMC); Rotterdam Study I (RS-I); NIH (NIH); Radboud University Nijmegen Medical Centre (RUNMC); The Population Genetic Cohort (POPGEN); Heinz Nixdorf Recall Study (HNR); Cooperative Health Research in the Region of Augsburg (KORA),,"Discovery samplesThe Netherlands: Dutchdescent, with at least three out of four grandparents of Dutch ancestry Sweden:  Swedish citizens who reported (northern) Swedish citizenship for at least three generationsBelgium:  self reported Flemishdescent for at least three generationsIreland:  Irish-Caucasian ethnicity forat least three generationsUS:  white, non-Hispanic ethnicity"
776,Pilar,GCST001939,23104006,www.ncbi.nlm.nih.gov/pubmed/23104006,Oxford Endometriosis Gene (OXEGENE); Hunter Community Study (HCS); BioBank Japan Project (BBJ); Osaka-Midosuji Rotary Club (O-MRC); Oxford Biobank (OBB); Queensland Institute of Medical Research (QIMR),Wellcome Trust Case Control Consortium 2 (WTCCC2),
777,Pilar,GCST002655,24952865,www.ncbi.nlm.nih.gov/pubmed/24952865,PLATO trial (PLATO),,
778,Pilar,GCST002140,23358160,www.ncbi.nlm.nih.gov/pubmed/23358160,NO NAME,,"SamplesStage 1: based on the unique personal identification number (CPR-number), which is assigned to all live-born babies in DenmarkStage 2:  individuals born since 1981 and onwards diagnosed with schizophrenia  between 2006 and 2010 Danish Caucasians.German-Dutch replication sample"
779,Pilar,GCST002670,25080503,www.ncbi.nlm.nih.gov/pubmed/25080503,Framingham Heart Study (FHS); Gothenburg Osteoporosis and Obesity Determinants study (GOOD),,
780,Pilar,GCST002546,24621683,www.ncbi.nlm.nih.gov/pubmed/24621683,Chronic Obstructive Pulmonary Disease Gene Study (COPDGene); Evaluation of COPD Longitudinally to Identify Predictive Surrogate End-points (ECLIPSE); National Emphysema Treatment Trial (NETT); Genetics of Chronic Obstructive Lung Disease (GenKOLS); Normative Aging Study (NAS),,
781,Pilar,GCST001299,21627779,www.ncbi.nlm.nih.gov/pubmed/21627779,Disorders and Stroke and the Alzheimers Disease and Related Disorders Association (NINCDS-ADRDA); Alzheimers Disease Neuroimaging Initiative (ADNI); Genotype–Phenotype Associations in Alzheimers Disease (GENADA); Murcia (Murcia); Translational Genomics Research Institute (TGEN),National Institute of Aging (NIA) Genetic Consortium ,
782,Pilar,GCST002402,24096698,www.ncbi.nlm.nih.gov/pubmed/24096698,California Teachers Study (CTS),Wellcome Trust CaseControl Consortium,
783,Pilar,GCST001519,22019779,www.ncbi.nlm.nih.gov/pubmed/22019779,NO NAME,,
